"award_date","publish_date","title","award","authors","abstract"
"2021","CRYPTO 2021","Three Halves Make a Whole? Beating the Half-Gates Lower
            Bound for Garbled Circuits","Honorable mention for best
            paper","Mike
              Rosulek, Lawrence Roy","We describe a garbling scheme for boolean circuits, in
          which XOR gates are free and AND gates require communication of $1.5\kappa + 5$ bits. This improves over the
          state-of-the-art ``half-gates'' scheme of Zahur, Rosulek, and Evans (Eurocrypt 2015), in which XOR
          gates are free and AND gates cost $2\kappa$ bits. The half-gates paper proved a lower bound of $2\kappa$ bits
          per AND gate, in a model that captured all known garbling techniques at the time. We bypass this lower bound
          with a novel technique that we call \textbf{slicing and dicing}, which involves slicing wire labels in half
          and operating separately on those halves. Ours is the first to bypass the lower bound while being fully
          compatible with free-XOR, making it a drop-in replacement for half-gates. Our construction is proven secure
          from a similar assumption to prior free-XOR garbling (circular correlation-robust hash), and uses only
          slightly more computation than half-gates."
"2021","CRYPTO 2021","Linear Cryptanalysis of FF3-1 and FEA","Best Paper by Early Career
            Researchers Award, Honorable mention for best paper","Tim
              Beyne","Improved attacks on generic small-domain Feistel ciphers
          with alternating round tweaks are obtained using linear cryptanalysis. This results in practical
          distinguishing and message-recovery attacks on the United States format-preserving encryption standard FF3-1
          and the South-Korean standards FEA-1 and FEA-2. The data-complexity of the proposed attacks on FF3-1 and FEA-1
          is $O(N^{r/2 - 1.5})$, where $N^2$ is the domain size and $r$ is the number of rounds. For example, FF3-1 with
          $N = 10^3$ can be distinguished from an ideal tweakable block cipher with advantage $\ge 1/10$ using $2^{23}$
          encryption queries. Recovering the left half of a message with similar advantage requires $2^{24}$ data. The
          analysis of FF3-1 serves as an interesting real-world application of (generalized) linear cryptanalysis over
          the group $\mathbb{Z}/N\mathbb{Z}$."
"2021","CRYPTO 2021","On the Possibility of Basing Cryptography on $\EXP \neq
            \BPP$","Best Paper","Yanyi
              Liu, Rafael Pass","Liu and Pass (FOCS'20) recently demonstrated an
          equivalence between the
          existence of one-way
          functions and mild average-case hardness of the time-bounded
          Kolmogorov complexity problem. In this work, we establish a similar
          equivalence but to a different form of time-bounded Kolmogorov
          Complexity---namely, Levin's notion of Kolmogorov Complexity---whose
          hardness is closely related to the problem of whether $\EXP \neq
          \BPP$. In more detail, let $Kt(x)$ denote the Levin-Kolmogorov Complexity of the string $x$;
          that is, $Kt(x) = \min_{\desc \in \bitset^*, t \in \N}\{|\desc| +
          \lceil \log t \rceil: U(\desc, 1^t) = x\}$, where $U$ is a universal
          Turing machine, and let $\mktp$ denote the language of pairs $(x,k)$ having
          the property that $Kt(x) \leq k$.
          We demonstrate that:
          - $\mktp$ is \emph{two-sided error} mildly average-case hard (i.e., $\mktp
          \notin \HeurpBPP$) iff infinititely-often one-way
          functions exist.
          - $\mktp$ is \emph{errorless} mildly average-case hard (i.e., $\mktp
          \notin \AvgpBPP$) iff $\EXP \neq \BPP$.
          Thus, the only ``gap'' towards getting (infinitely-often) one-way
          functions from the assumption that $\EXP \neq \BPP$ is the
          seemingly ``minor'' technical gap
          between two-sided error and errorless average-case hardness of the
          $\mktp$ problem.

          As a corollary of this result, we additionally demonstrate that
          any reduction from errorless to two-sided error average-case
          hardness for $\mktp$ implies (unconditionally) that $\NP \neq \P$.

          We finally consider other alternative notions of Kolmogorov
          complexity---including space-bounded Kolmogorov complexity and
          conditional Kolmogorov complexity---and show how average-case
          hardness of problems related to them characterize log-space
          computable one-way functions, or one-way functions in $\NC^0$."
"2021","CRYPTO 2021","Efficient Key Recovery for all HFE Signature
            Variants","Honorable mention for best
            paper","Chengdong
              Tao, Albrecht Petzoldt, Jintai Ding","The HFE cryptosystem is one of the best known
          multivariate schemes. Especially in the area of digital signatures, the HFEv- variant offers short signatures
          and high performance. Recently, an instance of the HFEv- signature scheme called GeMSS was elected as one of
          the alternative candidates for signature schemes in the third round of the NIST Post Quantum Crypto (PQC)
          Standardization Project. In this paper, we propose a new key recovery attack on the HFEv- signature scheme.
          Our attack shows that both the Minus and the Vinegar modifi- cation do not enhance the security of the basic
          HFE scheme significantly. This shows that it is very difficult to build a secure and efficient signature
          scheme on the basis of HFE.
          In particular, we use our attack to show that the proposed parameters of the GeMSS scheme are not as secure as
          claimed."
"2021","PKC 2005","A Verifiable Random Function with Short Proofs and
            Keys","PKC Test-Of-Time Award","Yevgeniy
              Dodis, Aleksandr Yampolskiy",""
"2021","PKC 2004","An Efficient Signature Scheme from Bilinear Pairings and
            Its Applications","PKC Test-Of-Time Award","Fangguo
              Zhang, Reihaneh Safavi-Naini, Willy Susilo",""
"2021","PKC 2003","An Identity-Based Signature from Gap Diffie-Hellman
            Groups","PKC Test-Of-Time Award","Jae Choon
              Cha, Jung Hee Cheon",""
"2021","EUROCRYPT 2021","New Representations of the AES Key Schedule","Best Paper Award","Gaëtan
              Leurent, Clara Pernot","In this paper we present a new representation of the AES
          key schedule, with some implications to the security of AES-based schemes. In particular, we show that the
          AES-128 key schedule can be split into four independent parallel computations operating on 32 bits chunks, up
          to linear transformation. Surprisingly, this property has not been described in the literature after more than
          20 years of analysis of AES. We show two consequences of our new representation, improving previous
          cryptanalysis results of AES-based schemes.
          First, we observe that iterating an odd number of key schedule rounds results in a function with short cycles.
          This explains an observation of Khairallah on mixFeed, a second-round candidate in the NIST lightweight
          competition. Our analysis actually shows that his forgery attack on mixFeed succeeds with probability 0.44
          (with data complexity 220GB), breaking the scheme in practice. The same observation also leads to a novel
          attack on ALE, another AES-based AEAD scheme.
          Our new representation also gives efficient ways to combine information from the first sub-keys and
          information from the last sub-keys, in order to reconstruct the corresponding master keys. In particular we
          improve previous impossible-differential attacks against AES-128."
"2021","EUROCRYPT 2021","Non-Interactive Zero Knowledge from Sub-exponential
            DDH","Best Paper Award","Abhishek
              Jain, Zhengzhong Jin","We provide the first constructions of non-interactive
          zero-knowledge and Zap arguments for NP based on the sub-exponential hardness of Decisional Diffie-Hellman
          against polynomial time adversaries (without use of groups with pairings).

          Central to our results, and of independent interest, is a new notion of interactive trapdoor hashing
          protocols."
"2021","EUROCRYPT 2021","On the (in)security of ROS","Best Paper Award","Fabrice
              Benhamouda, Tancrède Lepoint, Julian Loss, Michele Orrù, Mariana Raykova","We present an algorithm solving the ROS (Random
          inhomogeneities in a Overdetermined Solvable system of linear equations) problem mod p in polynomial time for
          $l > log p$ dimensions. Our algorithm can be combined with Wagner's attack, and leads to a
          sub-exponential solution for any dimension $l$ with best complexity known so far.
          When concurrent executions are allowed, our algorithm leads to practical attacks against unforgeability of
          blind signature schemes such as Schnorr and Okamoto--Schnorr blind signatures, threshold signatures such as
          GJKR and the original version of FROST, multisignatures such as CoSI and the two-round version of MuSig,
          partially blind signatures such as Abe--Okamoto, and conditional blind signatures such as ZGP17. Schemes for
          e-cash and anonymous credentials (such as Anonymous Credentials Light) inspired from the above are also
          affected."
"2021","ASIACRYPT 2006","Simulation-Sound NIZK Proofs for a Practical Language and
            Constant Size Group Signatures","IACR Test of Time Award","Jens Groth",""
"2021","CRYPTO 2006","New Proofs for NMAC and HMAC: Security Without
            Collision-Resistance","IACR Test of Time Award","Mihir
              Bellare",""
"2021","EUROCRYPT 2006","A Provable-Security Treatment of the Key-Wrap
            Problem","IACR Test of Time Award","Phillip
              Rogaway, Thomas Shrimpton",""
"2020","ASIACRYPT 2020","Finding Collisions in a Quantum World: Quantum
            Black-Box Separation of Collision-Resistance and One-Wayness","Best Paper Award","Akinori
              Hosoyamada, Takashi Yamakawa","Since the celebrated work of Impagliazzo and Rudich
          (STOC 1989), a number of black-box impossibility results have been established. However, these works only
          ruled out classical black-box reductions among cryptographic primitives.
          Therefore it may be possible to overcome these impossibility results by using quantum reductions.
          To exclude such a possibility, we have to extend these impossibility results to the quantum setting.

          In this paper, we study black-box impossibility in the quantum setting.
          We first formalize a quantum counterpart of fully-black-box reduction following the formalization by Reingold,
          Trevisan and Vadhan (TCC 2004).
          Then we prove that there is no quantum fully-black-box reduction from collision-resistant hash functions to
          one-way permutations (or even trapdoor permutations).
          We take both of classical and quantum implementations of primitives into account.
          This is an extension to the quantum setting of the work of Simon (Eurocrypt 1998) who showed a similar result
          in the classical setting."
"2020","ASIACRYPT 2020","New results on Gimli: full-permutation distinguishers
            and improved collisions","Best Paper Award","Antonio Flórez
              Gutiérrez, Gaëtan Leurent, María Naya-Plasencia, Léo Perrin, André Schrottenloher, Ferdinand Sibleyras","Gimli is a family of cryptographic primitives (both a
          hash function and an AEAD scheme) that has been selected for the second round of the NIST competition for
          standardizing new lightweight designs. The candidate Gimli is based on the permutation Gimli, which was
          presented at CHES 2017. In this paper, we study the security of both the permutation and the constructions
          that are based on it. We exploit the slow diffusion in Gimli and its internal symmetries to build, for the
          first time, a distinguisher on the full permutation of complexity $2^{64}$. We also provide a practical
          distinguisher on 23 out of the full 24 rounds of Gimli that has been implemented.

          Next, we give (full state) collision and semi-free-start collision attacks on Gimli-Hash, reaching
          respectively up to 12 and 18 rounds. On the practical side, we compute a collision on 8-round Gimli-Hash. In
          the quantum setting, these attacks reach 2 more rounds. Finally, we perform the first study of linear trails
          in the permutation, and we propose differential-linear cryptanalysis that reach up to 17 rounds of Gimli."
"2020","ASIACRYPT 2020","SQISign: Compact Post-Quantum signatures from
            Quaternions and Isogenies","Best Paper Award","Luca De
              Feo, David Kohel, Antonin Leroux, Christophe Petit, Benjamin Wesolowski","We introduce a new signature scheme, \emph{SQISign},
          (for \emph{Short Quaternion and Isogeny Signature}) from isogeny graphs of supersingular elliptic curves. The
          signature scheme is derived from a new one-round, high soundness, interactive identification protocol.
          Targeting the post-quantum NIST-1 level of security, our implementation results in signatures of $204$ bytes,
          secret keys of $16$ bytes and public keys of $64$ bytes. In particular, the signature and public key sizes
          combined are an order of magnitude smaller than all other post-quantum signature schemes. On a modern
          workstation, our implementation in C takes 0.6s for key generation, 2.5s for signing, and 50ms for
          verification.

          While the soundness of the identification protocol follows from classical assumptions, the zero-knowledge
          property relies on the second main contribution of this paper.
          We introduce a new algorithm to find an isogeny path connecting two given supersingular elliptic curves of
          known endomorphism rings.
          A previous algorithm to solve this problem, due to Kohel, Lauter, Petit and Tignol, systematically reveals
          paths from the input curves to a `special' curve. This leakage would break the zero-knowledge property of
          the protocol. Our algorithm does not directly reveal such a path, and subject to a new computational
          assumption, we prove that the resulting identification protocol is zero-knowledge."
"2020","TOSC 2019","On Beyond-Birthday-Bound Security: Revisiting the
            Development of ISO/IEC 9797-1 MACs","Best Paper FSE 2020","Yaobin
              Shen, Lei Wang","ISO/IEC 9797-1 is an international standard for
          block-cipher-based Message Authentication Code (MAC). The current version ISO/IEC 9797-1:2011 specifies six
          single-pass CBC-like MAC structures that are capped at the birthday bound security. For a higher security that
          is beyond-birthday bound, it recommends to use the concatenation combiner of two single-pass MACs. In this
          paper, we reveal the invalidity of the suggestion, by presenting a birthday bound forgery attack on the
          concatenation combiner, which is essentially based on Joux’s multi-collision. Notably, our new forgery attack
          for the concatenation of two MAC Algorithm 1 with padding scheme 2 only requires 3 queries. Moreover, we look
          for patches by revisiting the development of ISO/IEC 9797-1 with respect to the beyond-birthday bound
          security. More specifically, we evaluate the XOR combiner of single-pass CBC-like MACs, which was used in
          previous version of ISO/IEC 9797-1."
"2020","TCC 2008","Perfectly-Secure MPC with Linear Communication
            Complexity","TCC Test of Time Award","Zuzana
              Beerliová-Trubíniová, Martin Hirt",""
"2020","TCHES 2020","Minerva: The curse of ECDSA nonces Systematic analysis
            of lattice attacks on noisy leakage of bit-length of ECDSA nonces","Best Paper CHES 2020","Jan
              Jancar, Vladimir Sedlacek, Petr Svenda, Marek Sys","We present our discovery of a group of side-channel
          vulnerabilities in implementations of the ECDSA signature algorithm in a widely used Atmel AT90SC FIPS 140-2
          certified smartcard chip and five cryptographic libraries (libgcrypt, wolfSSL, MatrixSSL, SunEC/OpenJDK/Oracle
          JDK, Crypto++). Vulnerable implementations leak the bit-length of the scalar used in scalar multiplication via
          timing. Using leaked bit-length, we mount a lattice attack on a 256-bit curve, after observing enough signing
          operations. We propose two new methods to recover the full private key requiring just 500 signatures for
          simulated leakage data, 1200 for real cryptographic library data, and 2100 for smartcard data. The number of
          signatures needed for a successful attack depends on the chosen method and its parameters as well as on the
          noise profile, influenced by the type of leakage and used computation platform. We use the set of
          vulnerabilities reported in this paper, together with the recently published TPM-FAIL vulnerability [MSE+20]
          as a basis for real-world benchmark datasets to systematically compare our newly proposed methods and all
          previously published applicable lattice-based key recovery methods. The resulting exhaustive comparison
          highlights the methods’ sensitivity to its proper parametrization and demonstrates that our methods are more
          efficient in most cases. For the TPM-FAIL dataset, we decreased the number of required signatures from
          approximately 40 000 to mere 900."
"2020","CHES 1999","Resistance against Differential Power Analysis for
            Elliptic Curve Cryptosystems","CHES Test of Time Award","Jean-Sébastien
              Coron",""
"2020","CRYPTO 2020","Handling Adaptive Compromise for Practical Encryption
            Schemes","Early Career Researcher
            Award","Joseph
              Jaeger, Nirvan Tyagi","We provide a new definitional framework capturing the
          multi-user security of encryption schemes and pseudorandom functions in the face of adversaries that can
          adaptively compromise users' keys. We provide a sequence of results establishing the security of
          practical symmetric encryption schemes under adaptive compromise in the random oracle or ideal cipher model.
          The bulk of analysis complexity for adaptive compromise security is relegated to the analysis of lower-level
          primitives such as pseudorandom functions.

          We apply our framework to give proofs of security for the BurnBox system for privacy in the face of border
          searches and the in-use searchable symmetric encryption scheme due to Cash et al. In both cases, prior
          analyses had bugs that our framework helps avoid."
"2020","CRYPTO 2020","Improved Differential-Linear Attacks with Applications
            to ARX Ciphers","Best Paper Award","Christof
              Beierle, Gregor Leander, Yosuke Todo","We present several improvements to the framework of
          differential-linear attacks with a special focus on ARX ciphers. As a demonstration of their impact, we apply
          them to Chaskey and ChaCha and we are able to significantly improve upon the best attacks published so far."
"2020","CRYPTO 2020","Chosen Ciphertext Security from Injective Trapdoor
            Functions","Best Paper Award","Susan
              Hohenberger, Venkata Koppula, Brent Waters","We provide a construction of chosen ciphertext secure
          public-key encryption from (injective) trapdoor functions. Our construction is black box and assumes no
          special properties (e.g. ``lossy'', ``correlated product secure'') of the trapdoor
          function."
"2020","CRYPTO 2020","Breaking the decisional Diffie-Hellman problem for
            class group actions using genus theory","Best Paper Award","Wouter
              Castryck, Jana Sotakova, Frederik Vercauteren","In this paper, we use genus theory to analyze the
          hardness of the decisional Diffie--Hellman problem (DDH) for ideal class groups of imaginary quadratic orders,
          acting on sets of elliptic curves through isogenies; such actions are used in the
          Couveignes--Rostovtsev--Stolbunov protocol and in CSIDH. Concretely, genus theory equips every imaginary
          quadratic order $\mathcal{O}$ with a set of assigned characters $\chi : \text{cl}(\mathcal{O}) \to \{ \pm 1
          \}$, and for each such character and every secret ideal class $[\mathfrak{a}]$ connecting two public elliptic
          curves $E$ and $E' = [\mathfrak{a}] \star E$, we show how to compute $\chi([\mathfrak{a}])$ given only
          $E$ and $E'$, i.e., without knowledge of $[\mathfrak{a}]$. In practice, this breaks DDH as soon as the
          class number is even, which is true for a density $1$ subset of all imaginary quadratic orders. For instance,
          our attack works very efficiently for all supersingular elliptic curves over $\mathbb{F}_p$ with $p \equiv 1
          \bmod 4$. Our method relies on computing Tate pairings and walking down isogeny volcanoes."
"2020","PKC 2003","Threshold Signatures, Multisignatures and Blind
            Signatures Based on the Gap-Diffie-Hellman-Group Signature Scheme","PKC Test-of-Time award","Alexandra
              Boldyreva",""
"2020","PKC 2001","A Generalisation, a Simplification and Some Applications
            of Paillier's Probabilistic Public-Key System","PKC Test-of-Time award","Ivan
              Damgård, Mads Jurik",""
"2020","PKC 1998","On the Security of ElGamal Based Encryption","PKC Test-of-Time award","Yiannis
              Tsiounis, Moti Yung",""
"2020","EUROCRYPT 2020","Private Information Retrieval with Sublinear Online
            Time","Best Young Researcher Award","Henry
              Corrigan-Gibbs, Dmitry Kogan","We present the first protocols for private information
          retrieval that allow fast (sublinear-time) database lookups without increasing the server-side storage
          requirements. To achieve these efficiency goals, our protocols work in an offline/online model. In an offline
          phase, which takes place before the client has decided which database bit it wants to read, the client fetches
          a short string from the servers. In a subsequent online phase, the client can privately retrieve its desired
          bit of the database by making a second query to the servers. By pushing the bulk of the server-side
          computation into the offline phase (which is independent of the client’s query), our protocols allow the
          online phase to complete very quickly—in time sublinear in the size of the database. Our protocols can provide
          statistical security in the two-server setting and computational security in the single-server setting.
          Finally, we prove that, in this model, our protocols are optimal in terms of the trade-off they achieve
          between communication and running time."
"2020","EUROCRYPT 2020","Optimal Broadcast Encryption from Pairings and
            LWE","Best Paper Award","Shweta
              Agrawal, Shota Yamada","Boneh, Waters and Zhandry (CRYPTO 2014) used multilinear
          maps to provide a solution to the long-standing problem of public-key broadcast encryption (BE) where all
          parameters in the system are small. In this work, we improve their result by providing a solution that uses
          only {\it bilinear} maps and Learning With Errors (LWE). Our scheme is fully collusion-resistant against any
          number of colluders, and can be generalized to an identity-based broadcast system with short parameters. Thus,
          we reclaim the problem of optimal broadcast encryption from the land of ``Obfustopia''.

          Our main technical contribution is a ciphertext policy attribute based encryption (CP-ABE) scheme which
          achieves special efficiency properties -- its ciphertext size, secret key size, and public key size are all
          independent of the size of the circuits supported by the scheme. We show that this special CP-ABE scheme
          implies BE with optimal parameters; but it may also be of independent interest. Our constructions rely on a
          novel interplay of bilinear maps and LWE, and are proven secure in the generic group model."
"2020","ASIACRYPT 2005","Discrete-Log-Based Signatures May Not Be Equivalent to
            Discrete Log","Best Paper and IACR Test of Time
            Award: For developing a new meta-reduction approach in the security proof of cryptosystems","Pascal
              Paillier, Damien Vergnaud",""
"2020","CRYPTO 2005","Finding Collisions in the Full SHA-1","IACR Test of Time Award: For a
            breakthrough in the cryptanalysis of hash functions","Xiaoyun
              Wang, Yiqun Lisa Yin, Hongbo Yu",""
"2020","EUROCRYPT 2005","Fuzzy Identity-Based Encryption","IACR Test of Time Award: For laying
            the foundations of attribute-based encryption and other advanced notions of encryption","Amit Sahai, Brent Waters",""
"2019","ASIACRYPT 2019","Wave: A New Family of Trapdoor One-Way Preimage
            Sampleable Functions Based on Codes","Best Paper","Thomas
              Debris-Alazard, Nicolas Sendrier, Jean-Pierre Tillich","We present here a new family of trapdoor one-way
          functions that are Preimage Sampleable on Average (PSA) based on codes, the Wave-PSA family. The trapdoor
          function is one-way under two computational assumptions: the hardness of generic decoding for high weights and
          the indistinguishability of generalized $$(U,U+V)$$-codes. Our proof follows the GPV strategy [28]. By
          including rejection sampling, we ensure the proper distribution for the trapdoor inverse output. The domain
          sampling property of our family is ensured by using and proving a variant of the left-over hash lemma. We
          instantiate the new Wave-PSA family with ternary generalized $$(U,U+V)$$-codes to design a “hash-and-sign”
          signature scheme which achieves existential unforgeability under adaptive chosen message attacks (EUF-CMA) in
          the random oracle model."
"2019","TCC 2019","The Function-Inversion Problem: Barriers and
            Opportunities","Best Young Researcher","Henry
              Corrigan-Gibbs, Dmitry Kogan","The task of function inversion is central to
          cryptanalysis: breaking block ciphers, forging signatures, and cracking password hashes are all special cases
          of the function-inversion problem. In 1980, Hellman showed that it is possible to invert a random function
          $$f{:}\,[N] \rightarrow [N]$$ in time $$T = \widetilde{O}(N^{2/3})$$ given only $$S = \widetilde{O}(N^{2/3})$$
          bits of precomputed advice about f. Hellman’s algorithm is the basis for the popular “Rainbow Tables”
          technique (Oechslin 2003), which achieves the same asymptotic cost and is widely used in practical
          cryptanalysis.Is Hellman’s method the best possible algorithm for inverting functions with preprocessed
          advice? The best known lower bound, due to Yao (1990), shows that $$ST = \widetilde{\Omega }(N)$$, which still
          admits the possibility of an $$S = T = \widetilde{O}(N^{1/2})$$ attack. There remains a long-standing and
          vexing gap between Hellman’s $$N^{2/3}$$ upper bound and Yao’s $$N^{1/2}$$ lower bound. Understanding the
          feasibility of an $$S = T = N^{1/2}$$ algorithm is cryptanalytically relevant since such an algorithm could
          perform a key-recovery attack on AES-128 in time $$2^{64}$$ using a precomputed table of size $$2^{64}$$.For
          the past 29 years, there has been no progress either in improving Hellman’s algorithm or in strengthening
          Yao’s lower bound. In this work, we connect function inversion to problems in other areas of theory to (1)
          explain why progress may be difficult and (2) explore possible ways forward.Our results are as follows:We show
          that any improvement on Yao’s lower bound on function-inversion algorithms will imply new lower bounds on
          depth-two circuits with arbitrary gates. Further, we show that proving strong lower bounds on non-adaptive
          function-inversion algorithms would imply breakthrough circuit lower bounds on linear-size log-depth
          circuits.We take first steps towards the study of the injective function-inversion problem, which has manifold
          cryptographic applications. In particular, we show that improved algorithms for breaking PRGs with
          preprocessing would give improved algorithms for inverting injective functions with preprocessing.Finally, we
          show that function inversion is closely related to well-studied problems in communication complexity and data
          structures. Through these connections we immediately obtain the best known algorithms for problems in these
          domains."
"2019","TCC 2008","Incrementally Verifiable Computation or Proofs of
            Knowledge Imply Time/Space Efficiency","TCC Test of Time Award","Paul
              Valiant",""
"2019","TCHES 2019","Glitch-Resistant Masking Revisited","Best paper award CHES 2019","Thorben
              Moos, Amir Moradi, Tobias Schneider, François-Xavier Standaert","Implementing the masking countermeasure in hardware is a
          delicate task. Various solutions have been proposed for this purpose over the last years: we focus on
          Threshold Implementations (TIs), Domain-Oriented Masking (DOM), the Unified Masking Approach (UMA) and Generic
          Low Latency Masking (GLM). The latter generally come with innovative ideas to cope with physical defaults such
          as glitches. Yet, and in contrast to the situation in software-oriented masking, these schemes have not been
          formally proven at arbitrary security orders and their composability properties were left unclear. So far,
          only a 2-cycle implementation of the seminal masking scheme by Ishai, Sahai and Wagner has been shown secure
          and composable in the robust probing model – a variation of the probing model aimed to capture physical
          defaults such as glitches – for any number of shares.In this paper, we argue that this lack of proofs for TIs,
          DOM, UMA and GLM makes the interpretation of their security guarantees difficult as the number of shares
          increases. For this purpose, we first put forward that the higher-order variants of all these schemes are
          affected by (local or composability) security flaws in the (robust) probing model, due to insufficient
          refreshing. We then show that composability and robustness against glitches cannot be analyzed independently.
          We finally detail how these abstract flaws translate into concrete (experimental) attacks, and discuss the
          additional constraints robust probing security implies on the need of registers. Despite not systematically
          leading to improved complexities at low security orders, e.g., with respect to the required number of
          measurements for a successful attack, we argue that these weaknesses provide a case for the need of security
          proofs in the robust probing model (or a similar abstraction) at higher security orders."
"2019","CRYPTO 2019","Cryptanalysis of OCB2: Attacks on Authenticity and
            Confidentiality","Best paper","Akiko
              Inoue, Tetsu Iwata, Kazuhiko Minematsu, Bertram Poettering","We present practical attacks on OCB2. This mode of
          operation of a blockcipher was designed with the aim to provide particularly efficient and provably-secure
          authenticated encryption services, and since its proposal about 15 years ago it belongs to the top performers
          in this realm. OCB2 was included in an ISO standard in 2009.An internal building block of OCB2 is the
          tweakable blockcipher obtained by operating a regular blockcipher in $$ \text {XEX} ^*$$ mode. The latter
          provides security only when evaluated in accordance with certain technical restrictions that, as we note, are
          not always respected by OCB2. This leads to devastating attacks against OCB2’s security promises: We develop a
          range of very practical attacks that, amongst others, demonstrate universal forgeries and full plaintext
          recovery. We complete our report with proposals for (provably) repairing OCB2. To our understanding, as a
          direct consequence of our findings, OCB2 is currently in a process of removal from ISO standards. Our attacks
          do not apply to OCB1 and OCB3, and our privacy attacks on OCB2 require an active adversary."
"2019","CRYPTO 2019","Quantum Cryptanalysis in the RAM Model: Claw-Finding
            Attacks on SIKE","Best Young Researcher Paper","Samuel
              Jaques, John M. Schanck","We introduce models of computation that enable direct
          comparisons between classical and quantum algorithms. Incorporating previous work on quantum computation and
          error correction, we justify the use of the gate-count and depth-times-width cost metrics for quantum
          circuits. We demonstrate the relevance of these models to cryptanalysis by revisiting, and increasing, the
          security estimates for the Supersingular Isogeny Diffie–Hellman (SIDH) and Supersingular Isogeny Key
          Encapsulation (SIKE) schemes. Our models, analyses, and physical justifications have applications to a number
          of memory intensive quantum algorithms."
"2019","CRYPTO 2019","Fully Secure Attribute-Based Encryption for t-CNF from
            LWE","Best young researcher","Rotem
              Tsabary","Attribute-based Encryption (ABE), first introduced by
          [SW05, GPSW06], is a public key encryption system that can support multiple users with varying decryption
          permissions. One of the main properties of such schemes is the supported function class of policies. While
          there are fully secure constructions from bilinear maps for a fairly large class of policies, the situation
          with lattice-based constructions is less satisfactory and many efforts were made to close this gap. Prior to
          this work the only known fully secure lattice construction was for the class of point functions (also known as
          IBE).In this work we construct for the first time a lattice-based (ciphertext-policy) ABE scheme for the
          function class t-CNF, which consists of CNF formulas where each clause depends on at most t bits of the input,
          for any constant t. This class includes NP-verification policies, bit-fixing policies and t-threshold
          policies. Towards this goal we also construct a fully secure single-key constrained PRF from OWF for the same
          function class, which might be of independent interest."
"2019","EUROCRYPT 2019","Efficient Verifiable Delay Functions","Best Young Researcher Paper","Benjamin
              Wesolowski","We construct a verifiable delay function (VDF). A VDF is
          a function whose evaluation requires running a given number of sequential steps, yet the result can be
          efficiently verified. They have applications in decentralised systems, such as the generation of trustworthy
          public randomness in a trustless environment, or resource-efficient blockchains. To construct our VDF, we
          actually build a trapdoor VDF. A trapdoor VDF is essentially a VDF which can be evaluated efficiently by
          parties who know a secret (the trapdoor). By setting up this scheme in a way that the trapdoor is unknown (not
          even by the party running the setup, so that there is no need for a trusted setup environment), we obtain a
          simple VDF. Our construction is based on groups of unknown order such as an RSA group, or the class group of
          an imaginary quadratic field. The output of our construction is very short (the result and the proof of
          correctness are each a single element of the group), and the verification of correctness is very efficient."
"2019","EUROCRYPT 2019","Quantum Lightning Never Strikes the Same State
            Twice","Best Paper","Mark
              Zhandry","Public key quantum money can be seen as a version of the
          quantum no-cloning theorem that holds even when the quantum states can be verified by the adversary. In this
          work, we investigate quantum lightning where no-cloning holds even when the adversary herself generates the
          quantum state to be cloned. We then study quantum money and quantum lightning, showing the following
          results:We demonstrate the usefulness of quantum lightning beyond quantum money by showing several potential
          applications, such as generating random strings with a proof of entropy, to completely decentralized
          cryptocurrency without a block-chain, where transactions is instant and local.We give Either/Or results for
          quantum money/lightning, showing that either signatures/hash functions/commitment schemes meet very strong
          recently proposed notions of security, or they yield quantum money or lightning. Given the difficulty in
          constructing public key quantum money, this suggests that natural schemes do attain strong security
          guarantees.We show that instantiating the quantum money scheme of Aaronson and Christiano [STOC’12] with
          indistinguishability obfuscation that is secure against quantum computers yields a secure quantum money
          scheme. This construction can be seen as an instance of our Either/Or result for signatures, giving the first
          separation between two security notions for signatures from the literature.Finally, we give a plausible
          construction for quantum lightning, which we prove secure under an assumption related to the multi-collision
          resistance of degree-2 hash functions. Our construction is inspired by our Either/Or result for hash
          functions, and yields the first plausible standard model instantiation of a non-collapsing collision resistant
          hash function. This improves on a result of Unruh [Eurocrypt’16] which is relative to a quantum oracle."
"2019","ASIACRYPT 2004","How Far Can We Go Beyond Linear Cryptanalysis?","2019 IACR Test of Time Award","Thomas
              Baignères, Pascal Junod, Serge Vaudenay",""
"2019","CRYPTO 2004","Multicollisions in Iterated Hash Functions. Application
            to Cascaded Constructions","2019 IACR Test of Time Award","Antoine
              Joux",""
"2019","EUROCRYPT 2004","Fuzzy Extractors: How to Generate Strong Keys from
            Biometrics and Other Noisy Data","2019 IACR Test of Time Award","Yevgeniy
              Dodis, Leonid Reyzin, Adam Smith",""
"2019","JOFC 2001","Selecting Cryptographic Key Sizes","PKC Test of Time Award","Arjen K.
              Lenstra, Eric R. Verheul",""
"2019","PKC 2001","The Gap-Problems: A New Class of Problems for the
            Security of Cryptographic Schemes","PKC Test of Time Award","Tatsuaki
              Okamoto, David Pointcheval",""
"2019","PKC 2000","Selecting Cryptographic Key Sizes","PKC Test of Time Award","Arjen K.
              Lenstra, Eric R. Verheul",""
"2019","PKC 1999","How to Enhance the Security of Public-Key Encryption at
            Minimum Cost","PKC Test of Time Award","Eiichiro
              Fujisaki, Tatsuaki Okamoto",""
